ID,A,B,NEITHER
development-1362,1,0,0
development-1363,0,1,0
development-1364,1,0,0
development-1365,1,0,0
development-1366,0,1,0
development-1367,1,0,0
development-1368,1,0,0
development-1369,0,1,0
development-1370,0,1,0
development-1371,0,1,0
development-1372,1,0,0
development-1373,1,0,0
development-1374,0,1,0
development-1375,0,0,1
development-1376,1,0,0
development-1377,1,0,0
development-1378,1,0,0
development-1379,1,0,0
development-1380,1,0,0
development-1381,0,1,0
development-1382,0,1,0
development-1383,0,1,0
development-1384,0,1,0
development-1385,0,1,0
development-1386,1,0,0
development-1387,0,1,0
development-1388,0,1,0
development-1389,1,0,0
development-1390,1,0,0
development-1391,0,0,1
development-1392,0,1,0
development-1393,0,1,0
development-1394,1,0,0
development-1395,1,0,0
development-1396,1,0,0
development-1397,0,0,1
development-1398,0,1,0
development-1399,1,0,0
development-1400,1,0,0
development-1401,1,0,0
development-1402,1,0,0
development-1403,1,0,0
development-1404,1,0,0
development-1405,0,1,0
development-1406,0,1,0
development-1407,1,0,0
development-1408,0,1,0
development-1409,0,0,1
development-1410,0,1,0
development-1411,0,1,0
development-1412,1,0,0
development-1413,0,1,0
development-1414,1,0,0
development-1415,1,0,0
development-1416,1,0,0
development-1417,1,0,0
development-1418,1,0,0
development-1419,1,0,0
development-1420,0,1,0
development-1421,0,1,0
development-1422,0,1,0
development-1423,0,1,0
development-1424,0,1,0
development-1425,0,1,0
development-1426,0,1,0
development-1427,0,0,1
development-1428,1,0,0
development-1429,1,0,0
development-1430,0,1,0
development-1431,1,0,0
development-1432,1,0,0
development-1433,1,0,0
development-1434,0,1,0
development-1435,1,0,0
development-1436,0,1,0
development-1437,1,0,0
development-1438,1,0,0
development-1439,1,0,0
development-1440,0,1,0
development-1441,0,1,0
development-1442,1,0,0
development-1443,0,1,0
development-1444,0,1,0
development-1445,1,0,0
development-1446,1,0,0
development-1447,0,1,0
development-1448,1,0,0
development-1449,1,0,0
development-1450,0,1,0
development-1451,1,0,0
development-1452,0,1,0
development-1453,1,0,0
development-1454,1,0,0
development-1455,0,1,0
development-1456,0,1,0
development-1457,0,1,0
development-1458,0,1,0
development-1459,0,1,0
development-1460,1,0,0
development-1461,0,1,0
development-1462,0,0,1
development-1463,0,1,0
development-1464,0,1,0
development-1465,0,1,0
development-1466,1,0,0
development-1467,1,0,0
development-1468,1,0,0
development-1469,0,1,0
development-1470,1,0,0
development-1471,0,0,1
development-1472,1,0,0
development-1473,0,1,0
development-1474,1,0,0
development-1475,0,1,0
development-1476,1,0,0
development-1477,1,0,0
development-1478,1,0,0
development-1479,1,0,0
development-1480,0,1,0
development-1481,0,1,0
development-1482,1,0,0
development-1483,0,1,0
development-1484,0,1,0
development-1485,1,0,0
development-1486,0,1,0
development-1487,1,0,0
development-1488,1,0,0
development-1489,0,1,0
development-1490,0,1,0
development-1491,0,1,0
development-1492,0,1,0
development-1493,1,0,0
development-1494,0,1,0
development-1495,0,1,0
development-1496,1,0,0
development-1497,0,1,0
development-1498,1,0,0
development-1499,0,1,0
development-1500,0,0,1
development-1501,1,0,0
development-1502,0,1,0
development-1503,0,1,0
development-1504,1,0,0
development-1505,1,0,0
development-1506,0,1,0
development-1507,0,0,1
development-1508,0,1,0
development-1509,1,0,0
development-1510,0,1,0
development-1511,1,0,0
development-1512,0,1,0
development-1513,1,0,0
development-1514,0,1,0
development-1515,0,1,0
development-1516,0,1,0
development-1517,1,0,0
development-1518,0,1,0
development-1519,0,1,0
development-1520,1,0,0
development-1521,1,0,0
development-1522,1,0,0
development-1523,0,1,0
development-1524,0,1,0
development-1525,1,0,0
development-1526,1,0,0
development-1527,0,1,0
development-1528,0,1,0
development-1529,1,0,0
development-1530,1,0,0
development-1531,1,0,0
development-1532,0,0,1
development-1533,0,1,0
development-1534,1,0,0
development-1535,0,1,0
development-1536,1,0,0
development-1537,0,1,0
development-1538,1,0,0
development-1539,1,0,0
development-1540,1,0,0
development-1541,0,1,0
development-1542,1,0,0
development-1543,1,0,0
development-1544,1,0,0
development-1545,0,1,0
development-1546,1,0,0
development-1547,0,0,1
development-1548,1,0,0
development-1549,0,1,0
development-1550,1,0,0
development-1551,1,0,0
development-1552,0,1,0
development-1553,0,1,0
development-1554,1,0,0
development-1555,0,1,0
development-1556,1,0,0
development-1557,0,1,0
development-1558,0,1,0
development-1559,0,1,0
development-1560,0,0,1
development-1561,1,0,0
development-1562,1,0,0
development-1563,0,1,0
development-1564,1,0,0
development-1565,1,0,0
development-1566,0,1,0
development-1567,0,0,1
development-1568,1,0,0
development-1569,1,0,0
development-1570,1,0,0
development-1571,0,1,0
development-1572,0,1,0
development-1573,0,1,0
development-1574,1,0,0
development-1575,0,1,0
development-1576,0,1,0
development-1577,0,0,1
development-1578,1,0,0
development-1579,1,0,0
development-1580,0,1,0
development-1581,1,0,0
development-1582,0,0,1
development-1583,0,0,1
development-1584,0,1,0
development-1585,1,0,0
development-1586,0,1,0
development-1587,0,1,0
development-1588,0,1,0
development-1589,0,1,0
development-1590,1,0,0
development-1591,1,0,0
development-1592,0,1,0
development-1593,1,0,0
development-1594,1,0,0
development-1595,0,1,0
development-1596,1,0,0
development-1597,0,1,0
development-1598,0,1,0
development-1599,1,0,0
development-1600,1,0,0
development-1601,1,0,0
development-1602,0,1,0
development-1603,0,1,0
development-1604,1,0,0
development-1605,0,1,0
development-1606,0,1,0
development-1607,0,1,0
development-1608,0,0,1
development-1609,0,1,0
development-1610,1,0,0
development-1611,0,1,0
development-1612,0,1,0
development-1613,1,0,0
development-1614,1,0,0
development-1615,0,1,0
development-1616,1,0,0
development-1617,1,0,0
development-1618,0,1,0
development-1619,0,0,1
development-1620,0,0,1
development-1621,0,1,0
development-1622,0,1,0
development-1623,0,1,0
development-1624,0,1,0
development-1625,1,0,0
development-1626,0,0,1
development-1627,0,1,0
development-1628,1,0,0
development-1629,1,0,0
development-1630,0,0,1
development-1631,0,1,0
development-1632,0,0,1
development-1633,1,0,0
development-1634,0,0,1
development-1635,1,0,0
development-1636,1,0,0
development-1637,0,1,0
development-1638,0,1,0
development-1639,0,0,1
development-1640,1,0,0
development-1641,0,1,0
development-1642,0,0,1
development-1643,0,1,0
development-1644,0,0,1
development-1645,1,0,0
development-1646,1,0,0
development-1647,1,0,0
development-1648,0,1,0
development-1649,0,1,0
development-1650,0,1,0
development-1651,0,1,0
development-1652,1,0,0
development-1653,1,0,0
development-1654,1,0,0
development-1655,1,0,0
development-1656,0,1,0
development-1657,0,1,0
development-1658,0,1,0
development-1659,0,1,0
development-1660,0,1,0
development-1661,1,0,0
development-1662,1,0,0
development-1663,1,0,0
development-1664,1,0,0
development-1665,0,1,0
development-1666,1,0,0
development-1667,1,0,0
development-1668,1,0,0
development-1669,0,1,0
development-1670,1,0,0
development-1671,1,0,0
development-1672,0,1,0
development-1673,1,0,0
development-1674,0,1,0
development-1675,0,1,0
development-1676,1,0,0
development-1677,0,1,0
development-1678,1,0,0
development-1679,1,0,0
development-1680,1,0,0
development-1681,1,0,0
development-1682,0,1,0
development-1683,0,0,1
development-1684,0,1,0
development-1685,1,0,0
development-1686,0,1,0
development-1687,0,1,0
development-1688,1,0,0
development-1689,0,1,0
development-1690,1,0,0
development-1691,0,1,0
development-1692,1,0,0
development-1693,0,1,0
development-1694,1,0,0
development-1695,0,0,1
development-1696,0,1,0
development-1697,0,1,0
development-1698,0,1,0
development-1699,0,1,0
development-1700,0,1,0
development-1701,0,1,0
development-1702,0,1,0
development-1703,0,0,1
development-1704,0,0,1
development-1705,1,0,0
development-1706,1,0,0
development-1707,0,1,0
development-1708,0,1,0
development-1709,0,1,0
development-1710,1,0,0
development-1711,1,0,0
development-1712,0,1,0
development-1713,1,0,0
development-1714,0,1,0
development-1715,1,0,0
development-1716,1,0,0
development-1717,0,1,0
development-1718,0,1,0
development-1719,1,0,0
development-1720,0,1,0
development-1721,0,1,0
development-1722,1,0,0
development-1723,1,0,0
development-1724,0,1,0
development-1725,0,1,0
development-1726,0,1,0
development-1727,1,0,0
development-1728,0,1,0
development-1729,0,1,0
development-1730,0,0,1
development-1731,1,0,0
development-1732,1,0,0
development-1733,0,1,0
development-1734,1,0,0
development-1735,1,0,0
development-1736,1,0,0
development-1737,1,0,0
development-1738,0,1,0
development-1739,1,0,0
development-1740,0,1,0
development-1741,1,0,0
development-1742,0,1,0
development-1743,1,0,0
development-1744,0,1,0
development-1745,0,0,1
development-1746,1,0,0
development-1747,0,0,1
development-1748,0,1,0
development-1749,0,1,0
development-1750,1,0,0
development-1751,0,0,1
development-1752,1,0,0
development-1753,0,0,1
development-1754,0,0,1
development-1755,1,0,0
development-1756,0,0,1
development-1757,1,0,0
development-1758,0,1,0
development-1759,1,0,0
development-1760,0,1,0
development-1761,1,0,0
development-1762,0,1,0
development-1763,0,1,0
development-1764,1,0,0
development-1765,1,0,0
development-1766,1,0,0
development-1767,0,1,0
development-1768,1,0,0
development-1769,1,0,0
development-1770,0,1,0
development-1771,1,0,0
development-1772,0,1,0
development-1773,1,0,0
development-1774,1,0,0
development-1775,1,0,0
development-1776,0,1,0
development-1777,0,0,1
development-1778,1,0,0
development-1779,0,1,0
development-1780,1,0,0
development-1781,1,0,0
development-1782,0,1,0
development-1783,0,1,0
development-1784,0,1,0
development-1785,0,1,0
development-1786,0,1,0
development-1787,0,1,0
development-1788,1,0,0
development-1789,1,0,0
development-1790,1,0,0
development-1791,0,1,0
development-1792,0,1,0
development-1793,0,1,0
development-1794,0,1,0
development-1795,0,1,0
development-1796,0,1,0
development-1797,1,0,0
development-1798,0,1,0
development-1799,0,1,0
development-1800,1,0,0
development-1801,0,1,0
development-1802,0,1,0
development-1803,0,1,0
development-1804,0,1,0
development-1805,1,0,0
development-1806,0,1,0
development-1807,1,0,0
development-1808,1,0,0
development-1809,1,0,0
development-1810,0,1,0
development-1811,0,0,1
development-1812,0,1,0
development-1813,1,0,0
development-1814,0,1,0
development-1815,1,0,0
development-1816,0,1,0
development-1817,0,1,0
development-1818,0,1,0
development-1819,0,0,1
development-1820,1,0,0
development-1821,0,1,0
development-1822,1,0,0
development-1823,0,1,0
development-1824,1,0,0
development-1825,0,1,0
development-1826,1,0,0
development-1827,1,0,0
development-1828,0,1,0
development-1829,0,0,1
development-1830,0,1,0
development-1831,1,0,0
development-1832,1,0,0
development-1833,0,1,0
development-1834,0,1,0
development-1835,0,1,0
development-1836,1,0,0
development-1837,0,0,1
development-1838,1,0,0
development-1839,1,0,0
development-1840,1,0,0
development-1841,0,0,1
development-1842,1,0,0
development-1843,0,1,0
development-1844,0,1,0
development-1845,0,1,0
development-1846,0,1,0
development-1847,1,0,0
development-1848,0,1,0
development-1849,1,0,0
development-1850,1,0,0
development-1851,1,0,0
development-1852,0,1,0
development-1853,0,1,0
development-1854,0,1,0
development-1855,0,1,0
development-1856,0,1,0
development-1857,0,0,1
development-1858,1,0,0
development-1859,0,1,0
development-1860,1,0,0
development-1861,1,0,0
development-1862,1,0,0
development-1863,0,0,1
development-1864,1,0,0
development-1865,1,0,0
development-1866,0,1,0
development-1867,0,1,0
development-1868,0,1,0
development-1869,1,0,0
development-1870,0,0,1
development-1871,1,0,0
development-1872,1,0,0
development-1873,0,1,0
development-1874,0,1,0
development-1875,1,0,0
development-1876,1,0,0
development-1877,1,0,0
development-1878,1,0,0
development-1879,1,0,0
development-1880,0,1,0
development-1881,1,0,0
development-1882,0,1,0
development-1883,0,1,0
development-1884,1,0,0
development-1885,1,0,0
development-1886,1,0,0
development-1887,0,1,0
development-1888,1,0,0
development-1889,1,0,0
development-1890,0,1,0
development-1891,1,0,0
development-1892,1,0,0
development-1893,0,1,0
development-1894,0,1,0
development-1895,0,1,0
development-1896,1,0,0
development-1897,0,1,0
development-1898,1,0,0
development-1899,0,1,0
development-1900,0,1,0
development-1901,0,1,0
development-1902,0,1,0
development-1903,0,1,0
development-1904,1,0,0
development-1905,1,0,0
development-1906,0,1,0
development-1907,0,1,0
development-1908,1,0,0
development-1909,1,0,0
development-1910,0,1,0
development-1911,1,0,0
development-1912,0,0,1
development-1913,1,0,0
development-1914,0,1,0
development-1915,1,0,0
development-1916,0,1,0
development-1917,1,0,0
development-1918,1,0,0
development-1919,0,1,0
development-1920,0,0,1
development-1921,1,0,0
development-1922,0,0,1
development-1923,0,1,0
development-1924,1,0,0
development-1925,0,1,0
development-1926,0,0,1
development-1927,1,0,0
development-1928,1,0,0
development-1929,0,1,0
development-1930,1,0,0
development-1931,1,0,0
development-1932,0,0,1
development-1933,1,0,0
development-1934,0,1,0
development-1935,1,0,0
development-1936,0,1,0
development-1937,0,1,0
development-1938,0,0,1
development-1939,0,1,0
development-1940,0,1,0
development-1941,0,1,0
development-1942,0,1,0
development-1943,0,1,0
development-1944,0,1,0
development-1945,0,1,0
development-1946,0,1,0
development-1947,0,1,0
development-1948,0,1,0
development-1949,0,0,1
development-1950,0,0,1
development-1951,0,1,0
development-1952,0,0,1
development-1953,0,1,0
development-1954,0,1,0
development-1955,0,1,0
development-1956,0,1,0
development-1957,0,1,0
development-1958,1,0,0
development-1959,0,1,0
development-1960,0,1,0
development-1961,1,0,0
development-1962,0,0,1
development-1963,0,1,0
development-1964,0,1,0
development-1965,1,0,0
development-1966,0,1,0
development-1967,1,0,0
development-1968,1,0,0
development-1969,1,0,0
development-1970,1,0,0
development-1971,0,1,0
development-1972,1,0,0
development-1973,0,1,0
development-1974,0,1,0
development-1975,0,1,0
development-1976,1,0,0
development-1977,0,1,0
development-1978,0,1,0
development-1979,1,0,0
development-1980,1,0,0
development-1981,1,0,0
development-1982,0,1,0
development-1983,1,0,0
development-1984,0,0,1
development-1985,1,0,0
development-1986,0,0,1
development-1987,0,0,1
development-1988,1,0,0
development-1989,1,0,0
development-1990,1,0,0
development-1991,0,0,1
development-1992,0,1,0
development-1993,1,0,0
development-1994,1,0,0
development-1995,0,1,0
development-1996,0,1,0
development-1997,0,1,0
development-1998,1,0,0
development-1999,1,0,0
development-2000,0,1,0
